OBJECTID,NAME,DESCRIPTION,UPDATE_DATE,Shape__Area,Shape__Length
1,,LAKE/POND,1519689600000,6915.74963378906,366.204365327307
2,,LAKE/POND,1519689600000,26654.2379150391,697.613769168468
3,,DAM/WEIR,1519689600000,3664.31066894531,330.471343594637
4,,DAM/WEIR,1519689600000,7536.47241210938,432.404869540993
5,,SPILLWAY,1519689600000,487.962036132813,92.6528337994325
6,,DAM/WEIR,1394409600000,18134.8524169922,755.997642187376
7,,DAM/WEIR,1553299200000,20167.4385986328,768.511294379015
8,,DAM/WEIR,1394409600000,7326.30090332031,639.07931964994
9,,DAM/WEIR,1394409600000,8451.59606933594,791.206291099111
10,,LAKE/POND,1553299200000,6530.91845703125,359.216653684428
11,,LAKE/POND,1553299200000,24132.2026367188,729.011219225
12,,LAKE/POND,1394409600000,21877.1772460938,763.115542376277
13,,LAKE/POND,1553299200000,22741.0993652344,660.004089764419
14,,LAKE/POND,1553299200000,17550.6572265625,563.625125958637
15,,LAKE/POND,1553299200000,141663.047485352,1920.52403378115
16,,LAKE/POND,1394409600000,36195.8892822266,716.768264231365
17,,LAKE/POND,1553299200000,95384.4526367188,1468.22852610767
18,,STREAM/RIVER,1553299200000,48829.6478271484,9871.57727434237
19,,TUNNEL/CULVERT,1394409600000,2497.46447753906,219.596373237322
20,,TUNNEL/CULVERT,1394409600000,1234.31640625,163.603628348603
21,,LAKE/POND,1553299200000,12099.9768066406,414.78236632671
22,,LAKE/POND,1553299200000,23004.9228515625,965.915608924641
23,,LAKE/POND,1553299200000,3993.19946289063,279.291911748708
24,,LAKE/POND,1553299200000,3586.3818359375,246.158907712716
25,,DAM/WEIR,1553299200000,19706.6076660156,687.137964638658
26,,DAM/WEIR,1553299200000,31823.0046386719,1224.76144991604
27,,LAKE/POND,1553299200000,28604.3330078125,858.984559011186
28,,LAKE/POND,1553299200000,4725.77697753906,315.773908774312
29,,LAKE/POND,1553299200000,23321.5747070313,792.689375835333
30,,LAKE/POND,1553299200000,18882.6676025391,517.554145836103
31,,LAKE/POND,1553299200000,5796.73168945313,347.566735632524
32,,DAM/WEIR,1394409600000,5194.03076171875,459.33678785391
33,,DAM/WEIR,1553299200000,26645.1568603516,988.574033145004
34,,DAM/WEIR,1394409600000,1751.69616699219,283.713827325049
35,,DAM/WEIR,1553299200000,19563.25390625,586.825875748772
36,,DAM/WEIR,1553299200000,58037.4260253906,2139.07491665055
37,,DAM/WEIR,1553299200000,5791.32263183594,378.175425667554
38,,DAM/WEIR,1553299200000,20178.8154296875,991.758144263763
39,,DAM/WEIR,1553299200000,16638.0643310547,706.693875084824
40,,DAM/WEIR,1394409600000,39653.7161865234,1245.74643517223
41,,DAM/WEIR,1394409600000,5342.84643554688,385.683260903153
42,,LAKE/POND,1553299200000,4779.33056640625,262.915340935017
43,,LAKE/POND,1553299200000,130212.375,1867.72729208922
44,,LAKE/POND,1553299200000,254865.065795898,3255.65707738342
45,,LAKE/POND,1553299200000,4976.51147460938,335.295565913328
46,,LAKE/POND,1553299200000,41071.3988037109,932.007335138826
47,,LAKE/POND,1394409600000,25425.6831054688,741.946873582371
48,,LAKE/POND,1394409600000,108978.055053711,1532.15001098209
49,,LAKE/POND,1553299200000,155692.969604492,1815.62003032049
50,,LAKE/POND,1394409600000,4770.54663085938,301.186889413268
51,,SPILLWAY,1394409600000,944.229125976563,192.468347315177
52,,LAKE/POND,1394409600000,10716.7528076172,389.808268147831
53,,STREAM/RIVER,1553299200000,13980235.5391846,273492.859795878
54,,STREAM/RIVER,1553299200000,20393.2862548828,3570.73518478175
55,,STREAM/RIVER,1553299200000,18362.2990722656,1584.26570277212
56,,STREAM/RIVER,1553299200000,9768.03576660156,1489.14286092947
57,,STREAM/RIVER,1553299200000,14135.2272949219,1856.15920965953
58,,STREAM/RIVER,1553299200000,71990.4283447266,8328.4027785143
59,,TUNNEL/CULVERT,1394409600000,7042.72058105469,600.64565838712
60,,TUNNEL/CULVERT,1394409600000,1436.23559570313,242.403774924084
61,,TUNNEL/CULVERT,1394409600000,2312.36682128906,301.614618787792
62,,TUNNEL/CULVERT,1394409600000,1819.88293457031,182.054550684446
63,,LAKE/POND,1394409600000,101723.305786133,1810.77359439861
64,,LAKE/POND,1553299200000,26142.9039306641,920.166177816267
65,,RESERVOIR,1394409600000,6255.72912597656,297.877289646194
66,,RESERVOIR,1394409600000,3052.58081054688,244.346742240826
67,,RESERVOIR,1394409600000,5063.48486328125,325.451802139109
68,,TUNNEL/CULVERT,1394409600000,7838.330078125,777.335073767914
69,,TUNNEL/CULVERT,1394409600000,3350.82446289063,603.634319210872
70,,LAKE/POND,1553299200000,4284.73327636719,327.574387801703
71,,LAKE/POND,1394409600000,3050.57446289063,219.95589623272
72,,LAKE/POND,1553299200000,25048.2185058594,690.881721351311
73,,LAKE/POND,1553299200000,563885.911987305,5151.60794076329
74,,RESERVOIR,1394409600000,173907.122802734,2988.45409351705
75,,RESERVOIR,1394409600000,56837.4954833984,1357.87066498731
76,,RESERVOIR,1394409600000,41387.4720458984,839.056398484008
77,,ROCK/ISLAND,1394409600000,604.493408203125,103.471262776318
78,,LAKE/POND,1553299200000,217373.345214844,3255.24357244156
79,,LAKE/POND,1553299200000,20105.8204345703,539.666531668004
80,,LAKE/POND,1394409600000,4749.93176269531,275.0608172647
81,,LAKE/POND,1553299200000,1808.66491699219,177.956433998511
82,,LAKE/POND,1553299200000,2173.95251464844,212.780212115419
83,,LAKE/POND,1553299200000,18291.3514404297,625.482524721502
84,,LAKE/POND,1553299200000,13157.1859130859,449.992834545701
85,,LAKE/POND,1553299200000,10490.6990966797,436.804243152867
86,,LAKE/POND,1553299200000,69142.2218017578,1589.69131909078
87,,LAKE/POND,1553299200000,324.752319335938,71.6892222992262
88,,LAKE/POND,1553299200000,368.272094726563,72.8983856606707
89,,LAKE/POND,1553299200000,814.608154296875,106.83103974888
90,,LAKE/POND,1553299200000,4156.62170410156,262.349168541949
91,,LAKE/POND,1553299200000,1602.52502441406,160.76466012929
92,,LAKE/POND,1553299200000,6319.72131347656,312.812635970161
93,,LAKE/POND,1553299200000,20685.8558349609,598.835768962684
94,,LAKE/POND,1553299200000,107542.744750977,2228.50209553255
95,,LAKE/POND,1553299200000,10299.6235351563,559.776711352837
96,,LAKE/POND,1553299200000,3430.29504394531,223.829638791383
97,,LAKE/POND,1553299200000,12051.0693359375,519.816404725392
98,,LAKE/POND,1553299200000,58514.5998535156,993.77961519893
99,,LAKE/POND,1553299200000,7012.47131347656,351.995369333407
100,,LAKE/POND,1553299200000,1587.603515625,206.201278989648
101,,LAKE/POND,1553299200000,12665.4733886719,667.964618318508
102,,LAKE/POND,1553299200000,6902.75830078125,339.144935310374
103,,LAKE/POND,1553299200000,18490.0286865234,549.177684388781
104,,LAKE/POND,1553299200000,2127.58215332031,176.257047518208
105,,LAKE/POND,1553299200000,7462.865234375,390.771858785222
106,,LAKE/POND,1553299200000,1247722.44897461,9589.85521773609
107,,LAKE/POND,1553299200000,10310.8277587891,438.926934560283
108,,DAM/WEIR,1553299200000,5129.48681640625,378.816298600605
109,,DAM/WEIR,1553299200000,16398.1300048828,703.739453884487
110,,DAM/WEIR,1394409600000,4271.03002929688,286.396684361346
111,,DAM/WEIR,1553299200000,11215.3416748047,477.664520322665
112,,DAM/WEIR,1553299200000,6228.84631347656,375.136326931609
113,,DAM/WEIR,1394409600000,7859.01196289063,491.837578978829
114,,LAKE/POND,1553299200000,42708.4691162109,965.423010782095
115,,LAKE/POND,1553299200000,60756.9520263672,1468.91414024201
116,,LAKE/POND,1394409600000,21922.7805175781,664.44707376736
117,,LAKE/POND,1553299200000,25835.3819580078,940.703495476926
118,,LAKE/POND,1394409600000,14189.9310302734,635.777315176405
119,,LAKE/POND,1394409600000,109844.432739258,2127.76166169788
120,,LAKE/POND,1553299200000,15676.2896728516,540.617373064156
121,,TUNNEL/CULVERT,1394409600000,1902.88391113281,208.240867567852
122,,TUNNEL/CULVERT,1394409600000,2091.51037597656,243.1590428146
123,,LAKE/POND,1394409600000,41079.4022216797,857.258200451326
124,,LAKE/POND,1553299200000,25725.3192138672,991.749575893735
125,,STREAM/RIVER,1553299200000,33460.6285400391,5231.71176002436
126,,DAM/WEIR,1394409600000,9809.25012207031,486.276908740773
127,,DAM/WEIR,1394409600000,7613.45922851563,431.299290121116
128,,DAM/WEIR,1394409600000,9885.08801269531,479.699605755743
129,,DAM/WEIR,1394409600000,596.778076171875,149.29555147731
130,,DAM/WEIR,1394409600000,4947.642578125,385.31647148259
131,,DAM/WEIR,1394409600000,8159.17639160156,512.731946230338
132,,DAM/WEIR,1394409600000,1903.18359375,218.068588242554
133,,DAM/WEIR,1394409600000,11608.5162353516,586.360103638137
134,,DAM/WEIR,1394409600000,6795.27014160156,463.213966172126
135,,DAM/WEIR,1394409600000,5769.28576660156,392.343114194064
136,,DAM/WEIR,1394409600000,4397.0185546875,358.877184411498
137,,RESERVOIR,1394409600000,6175.62744140625,319.895474647601
138,,ROCK/ISLAND,1394409600000,4199.34765625,315.363190197549
139,,LAKE/POND,1553299200000,9286.24682617188,663.602765005644
140,,STREAM/RIVER,1394409600000,54307.2554931641,9481.89094529858
141,,LAKE/POND,1394409600000,8857.20166015625,371.262101624538
142,,LAKE/POND,1394409600000,40705.1683349609,760.644025240689
143,,LAKE/POND,1553299200000,42654.5548095703,1233.99911297624
144,,LAKE/POND,1394409600000,71945.7508544922,1231.05885060025
145,,LAKE/POND,1394409600000,63979.736328125,1384.57151413708
146,,LAKE/POND,1394409600000,5553.46508789063,364.373110154174
147,,LAKE/POND,1394409600000,14070.0863037109,480.674239711344
148,,LAKE/POND,1553299200000,45250.9244384766,1249.99889744402
149,,LAKE/POND,1553299200000,22390.4611816406,1022.56083430412
150,,LAKE/POND,1394409600000,26474.3692626953,822.535309406834
151,,LAKE/POND,1394409600000,5065.3154296875,298.427421594173
152,,RESERVOIR,1553299200000,2227.98059082031,176.786991914606
153,,RESERVOIR,1553299200000,3149.40661621094,234.902051299557
154,,LAKE/POND,1394409600000,89328.9769287109,1277.74408719358
155,,LAKE/POND,1394409600000,2089.35217285156,257.30025878339
156,,LAKE/POND,1394409600000,3054.64916992188,259.886839237273
157,,LAKE/POND,1394409600000,19952.4294433594,656.23803406575
158,,LAKE/POND,1553299200000,54797.4587402344,1314.27385425722
159,,LAKE/POND,1553299200000,21104.9486083984,709.874879655953
160,,LAKE/POND,1553299200000,142036.342163086,2229.0345238253
161,,TUNNEL/CULVERT,1394409600000,1880.07629394531,224.677064607183
162,,TUNNEL/CULVERT,1394409600000,1763.05700683594,228.463490725591
163,,TUNNEL/CULVERT,1394409600000,1895.07482910156,221.227461187726
164,,TUNNEL/CULVERT,1394409600000,2073.89086914063,203.147255331033
165,,TUNNEL/CULVERT,1394409600000,3340.46533203125,258.902523421725
166,,LAKE/POND,1553299200000,3545.99865722656,265.525332777228
167,,RESERVOIR,1394409600000,10481.6088867188,433.081276762324
168,,ROCK/ISLAND,1394409600000,101.087158203125,36.2693602052298
169,,ROCK/ISLAND,1553299200000,1869.33544921875,253.530829179773
170,,LAKE/POND,1394409600000,47849.6229248047,880.845254080369
171,,RESERVOIR,1394409600000,2944.31359863281,227.444602168248
172,,RESERVOIR,1394409600000,6095.12121582031,345.216936415424
173,,STREAM/RIVER,1553299200000,28490.8035888672,2690.64923755835
174,,STREAM/RIVER,1553299200000,1886.08874511719,320.108970385925
175,,LAKE/POND,1553299200000,19210.5856933594,650.646721307733
176,,RESERVOIR,1553299200000,5445.34655761719,271.75521632777
177,,LAKE/POND,1553299200000,74725.6540527344,1773.81019150057
178,,ROCK/ISLAND,1553299200000,23522.6478271484,1303.78177198922
179,,ROCK/ISLAND,1553299200000,53074.95703125,1376.59192891567
180,,LAKE/POND,1553299200000,2423.25598144531,185.726876737342
181,,RESERVOIR,1553299200000,4034.37438964844,277.144447095297
182,,DAM/WEIR,1394409600000,4951.81103515625,396.357132844629
183,,DAM/WEIR,1394409600000,43131.2120361328,1269.89024379289
184,,DAM/WEIR,1394409600000,16411.0134277344,563.630782292849
185,,DAM/WEIR,1394409600000,8781.52221679688,612.242417290073
186,,DAM/WEIR,1394409600000,5575.03869628906,386.558714482552
187,,DAM/WEIR,1394409600000,6359.53552246094,412.846418466125
188,,DAM/WEIR,1394409600000,3825.96923828125,285.744617672347
189,,DAM/WEIR,1394409600000,4516.84484863281,281.557406785077
190,,DAM/WEIR,1394409600000,2599.24926757813,277.114200894641
191,,DAM/WEIR,1394409600000,56402.2188720703,1488.80852037349
192,,DAM/WEIR,1394409600000,11495.7628173828,572.442237841905
193,,DAM/WEIR,1394409600000,5303.42492675781,386.415548348461
194,,DAM/WEIR,1394409600000,3656.84375,304.129677459012
195,,DAM/WEIR,1553299200000,3566.99462890625,292.92243691951
196,,DAM/WEIR,1394409600000,15154.7053222656,672.535335504913
197,,DAM/WEIR,1394409600000,5575.05603027344,339.488323026902
198,,LAKE/POND,1394409600000,2534.19604492188,187.421978325345
199,,LAKE/POND,1394409600000,20911.6491699219,586.496809639143
200,,LAKE/POND,1394409600000,13128.3050537109,483.893444521733
201,,LAKE/POND,1553299200000,27277.8913574219,667.060286122501
202,,LAKE/POND,1394409600000,40135.4519042969,834.359924274533
203,,LAKE/POND,1394409600000,4317.71545410156,459.77406193361
204,,LAKE/POND,1394409600000,2381.22021484375,258.859182581408
205,,LAKE/POND,1394409600000,1954.11059570313,309.425130650764
206,,SPILLWAY,1394409600000,1115.93334960938,252.669556039794
207,,STREAM/RIVER,1394409600000,7756.79919433594,1346.74634124044
208,,STREAM/RIVER,1394409600000,32766.6264648438,3894.38295421978
209,,STREAM/RIVER,1394409600000,17436.5168457031,1702.01492623096
210,,STREAM/RIVER,1394409600000,9381.28015136719,1106.56834545363
211,,TUNNEL/CULVERT,1394409600000,1637.31945800781,205.754615530061
212,,TUNNEL/CULVERT,1394409600000,3538.27111816406,283.309258785392
213,,TUNNEL/CULVERT,1394409600000,2124.12048339844,212.315340157399
214,,TUNNEL/CULVERT,1394409600000,1928.96936035156,186.403289792227
215,,TUNNEL/CULVERT,1394409600000,11977.8814697266,977.611124358338
216,,TUNNEL/CULVERT,1394409600000,8556.46801757813,970.318150053695
217,,LAKE/POND,1553299200000,11367.2867431641,539.923920207015
218,,RESERVOIR,1394409600000,14322.7795410156,444.995380349597
219,,RESERVOIR,1394409600000,13029.8100585938,407.619806353426
220,,TUNNEL/CULVERT,1394409600000,9990.74377441406,1089.47789361566
221,,LAKE/POND,1553299200000,4801.68566894531,284.216547429012
222,,LAKE/POND,1394409600000,6103.29028320313,349.563050434262
223,,LAKE/POND,1394409600000,3161.99340820313,278.996224590402
224,,LAKE/POND,1553299200000,38665.0744628906,972.248837370737
225,,LAKE/POND,1394409600000,5003.09643554688,344.552369286564
226,,RESERVOIR,1394409600000,234397.44543457,2838.11573388522
227,,RESERVOIR,1394409600000,6672.96301269531,341.779208661665
228,,LAKE/POND,1394409600000,2080.67297363281,186.01586303273
229,,RESERVOIR,1394409600000,11119.8776855469,441.842438903877
230,,RESERVOIR,1394409600000,2526.45349121094,300.595517801288
231,,RESERVOIR,1394409600000,5436.68835449219,296.098962693149
232,,RESERVOIR,1394409600000,16673.1628417969,564.557324880469
233,,RESERVOIR,1394409600000,12491.5142822266,508.441438647119
234,,LAKE/POND,1394409600000,2639.34729003906,194.621618668562
235,,RESERVOIR,1394409600000,12378.3153076172,441.380006876526
236,,RESERVOIR,1394409600000,1979.71411132813,171.084252489751
237,,RESERVOIR,1394409600000,22944.3352050781,606.978596621655
238,,RESERVOIR,1394409600000,11666.4183349609,447.695348257619
239,,RESERVOIR,1394409600000,19047.8693847656,713.841561737087
240,,LAKE/POND,1394409600000,623911.169799805,4295.17327506279
241,,RESERVOIR,1553299200000,51.9237060546875,49.1914630753579
242,,LAKE/POND,1553299200000,8497.60412597656,334.718870616416
243,,LAKE/POND,1553299200000,29784.7928466797,802.292740499155
244,,DAM/WEIR,1553299200000,5510.58947753906,556.379598396994
245,,LAKE/POND,1553299200000,57937.8024902344,992.694003928375
246,,STREAM/RIVER,1553299200000,43249.6741943359,7013.57551999247
247,,DAM/WEIR,1553299200000,4721.26123046875,332.544286967042
248,,STREAM/RIVER,1553299200000,7156.64819335938,941.01539571255
249,,STREAM/RIVER,1553299200000,19544.4471435547,3346.90691929351
250,,RESERVOIR,1553299200000,8770.41345214844,608.079803557394
251,,LAKE/POND,1553299200000,7290.27734375,489.159960816289
252,,LAKE/POND,1553299200000,1509.53100585938,150.642166339461
253,,LAKE/POND,1553299200000,5456.375,330.348545345282
254,,RESERVOIR,1553299200000,976.850463867188,152.69250477414
255,,DAM/WEIR,1394409600000,5798.86926269531,456.596891464525
256,,DAM/WEIR,1394409600000,1120.42822265625,152.415994201574
257,,DAM/WEIR,1553299200000,13857.7760009766,549.346562784463
258,,DAM/WEIR,1553299200000,5289.55029296875,413.070765376532
259,,DAM/WEIR,1394409600000,2933.14819335938,285.119784056127
260,,DAM/WEIR,1394409600000,8459.611328125,505.014098293373
261,,LAKE/POND,1394409600000,9326.94580078125,435.802946516243
262,,LAKE/POND,1394409600000,59190.4686279297,945.228541366416
263,,LAKE/POND,1394409600000,61383.8576660156,1182.7212313137
264,,LAKE/POND,1394409600000,52427.0286865234,999.766251961347
265,,LAKE/POND,1553299200000,30034.2318115234,681.793132166359
266,,LAKE/POND,1394409600000,10743.8060302734,391.51945100688
267,,RESERVOIR,1394409600000,6792.89794921875,347.833385529942
268,,LAKE/POND,1394409600000,58410.677734375,1284.5234456758
269,,LAKE/POND,1394409600000,20577.8569335938,709.441029222555
270,,LAKE/POND,1394409600000,100233.362548828,1829.1936711193
271,,LAKE/POND,1553299200000,1045783.32714844,7292.86260278182
272,,STREAM/RIVER,1553299200000,76839.0073242188,3707.22567822891
273,,TUNNEL/CULVERT,1394409600000,1504.87390136719,158.642754404128
274,,LAKE/POND,1394409600000,34234.4060058594,798.287187786218
275,,LAKE/POND,1553299200000,6794.23828125,300.493098160516
276,,RESERVOIR,1553299200000,26806.2757568359,853.491359985241
277,,LAKE/POND,1553299200000,195487.561889648,3217.11722960013
278,,LAKE/POND,1553299200000,432622.736694336,4861.653937234
279,,RESERVOIR,1553299200000,40686.6363525391,846.139936982492
280,,DAM/WEIR,1553299200000,14348.0294189453,802.52308652527
281,,DAM/WEIR,1553299200000,11823.2827148438,731.452568532573
282,,DAM/WEIR,1394409600000,12626.9512939453,572.15876479026
283,,DAM/WEIR,1394409600000,1436.21643066406,193.124206535438
284,,RESERVOIR,1394409600000,9173.45446777344,373.321506186378
285,,RESERVOIR,1394409600000,3520.76403808594,224.917640166306
286,,SPILLWAY,1394409600000,1143.86901855469,140.713402556402
287,,STREAM/RIVER,1553299200000,71762.48046875,6489.20045340217
288,,RESERVOIR,1394409600000,7054.30981445313,369.358651026235
289,,TUNNEL/CULVERT,1394409600000,9801.14562988281,577.47708767646
290,,LAKE/POND,1394409600000,8261.06396484375,353.305384153699
291,,LAKE/POND,1553299200000,18646.1888427734,813.141780362696
292,,LAKE/POND,1394409600000,1721.90197753906,223.923485267293
293,,TUNNEL/CULVERT,1394409600000,4857.72326660156,676.725171533587
294,,TUNNEL/CULVERT,1394409600000,1780.87939453125,284.292382187073
295,,TUNNEL/CULVERT,1394409600000,1266.1845703125,142.928131416398
296,,TUNNEL/CULVERT,1394409600000,7493.82946777344,849.538147973005
297,,RESERVOIR,1553299200000,9619.8173828125,498.695396444693
298,,LAKE/POND,1553299200000,14403.6318359375,488.872065230711
299,,LAKE/POND,1553299200000,9240.48815917969,440.157432985124
300,,LAKE/POND,1553299200000,530.070556640625,95.1429312700793
301,,LAKE/POND,1553299200000,535.498291015625,102.189515395794
302,,LAKE/POND,1553299200000,3645.1142578125,241.083110082766
303,,LAKE/POND,1553299200000,1865.53186035156,169.971771730509
304,,DAM/WEIR,1394409600000,11140.9951171875,607.948905144874
305,,DAM/WEIR,1394409600000,7176.64489746094,1118.36739171007
306,,DAM/WEIR,1394409600000,6447.21423339844,461.094569171628
307,,DAM/WEIR,1394409600000,20591.5301513672,702.457075436294
308,,DAM/WEIR,1394409600000,1472.96447753906,279.612625841787
309,,DAM/WEIR,1394409600000,5391.65026855469,500.519821588023
310,,DAM/WEIR,1553299200000,34034.2474365234,2312.92821413821
311,,DAM/WEIR,1394409600000,26230.1190185547,975.354858559112
312,,LAKE/POND,1394409600000,40811.8937988281,917.793486232837
